temperature,pressure,flow_rate,valve_position,power_output,timestamp
400.0,4.0,2.94,66.98,152.6,1771519100.415
400.0,4.0,2.94,66.98,152.6,1771519100.415
400.0,4.0,2.94,66.98,152.6,1771519100.415
400.0,4.0,2.94,66.98,152.6,1771519100.415
400.0,4.0,2.94,66.98,152.6,1771519100.415
400.0,4.02,3.03,66.51,151.32,1771519101.429
400.0,4.02,3.03,66.51,151.32,1771519101.429
400.0,4.02,3.03,66.51,151.32,1771519101.429
400.0,4.02,3.03,66.51,151.32,1771519101.429
406.28,4.0,3.02,66.08,152.57,1771519102.44
406.28,4.0,3.02,66.08,152.57,1771519102.44
406.28,4.0,3.02,66.08,152.57,1771519102.44
406.28,4.0,3.02,66.08,152.57,1771519102.44
406.28,4.0,3.02,66.08,152.57,1771519102.44
401.05,4.0,2.97,65.7,151.68,1771519103.45
401.05,4.0,2.97,65.7,151.68,1771519103.45
401.05,4.0,2.97,65.7,151.68,1771519103.45
401.05,4.0,2.97,65.7,151.68,1771519103.45
401.05,4.0,2.97,65.7,151.68,1771519103.45
403.05,4.0,2.99,65.36,151.09,1771519104.46
403.05,4.0,2.99,65.36,151.09,1771519104.46
403.05,4.0,2.99,65.36,151.09,1771519104.46
403.05,4.0,2.99,65.36,151.09,1771519104.46
405.07,4.02,3.01,65.05,150.04,1771519105.468
405.07,4.02,3.01,65.05,150.04,1771519105.468
405.07,4.02,3.01,65.05,150.04,1771519105.468
405.07,4.02,3.01,65.05,150.04,1771519105.468
405.07,4.02,3.01,65.05,150.04,1771519105.468
400.0,4.0,3.0,64.78,150.0,1771519106.483
400.0,4.0,3.0,64.78,150.0,1771519106.483
400.0,4.0,3.0,64.78,150.0,1771519106.483
400.0,4.0,3.0,64.78,150.0,1771519106.483
400.0,4.0,3.0,64.78,150.0,1771519106.483
400.0,4.0,3.0,64.53,151.38,1771519107.493
400.0,4.0,3.0,64.53,151.38,1771519107.493
400.0,4.0,3.0,64.53,151.38,1771519107.493
400.0,4.0,3.0,64.53,151.38,1771519107.493
404.9,4.04,3.07,64.3,150.0,1771519108.508
404.9,4.04,3.07,64.3,150.0,1771519108.508
404.9,4.04,3.07,64.3,150.0,1771519108.508
404.9,4.04,3.07,64.3,150.0,1771519108.508
404.9,4.04,3.07,64.3,150.0,1771519108.508
403.49,4.0,3.08,64.1,152.76,1771519109.514
403.49,4.0,3.08,64.1,152.76,1771519109.514
403.49,4.0,3.08,64.1,152.76,1771519109.514
403.49,4.0,3.08,64.1,152.76,1771519109.514
403.49,4.0,3.08,64.1,152.76,1771519109.514
400.0,4.0,3.04,63.92,150.0,1771519110.524
400.0,4.0,3.04,63.92,150.0,1771519110.524
400.0,4.0,3.04,63.92,150.0,1771519110.524
400.0,4.0,3.04,63.92,150.0,1771519110.524
401.87,4.03,2.97,63.75,150.0,1771519111.533
401.87,4.03,2.97,63.75,150.0,1771519111.533
401.87,4.03,2.97,63.75,150.0,1771519111.533
401.87,4.03,2.97,63.75,150.0,1771519111.533
401.87,4.03,2.97,63.75,150.0,1771519111.533
400.0,4.0,3.03,65.31,152.44,1771519112.534
400.0,4.0,3.03,65.31,152.44,1771519112.534
400.0,4.0,3.03,65.31,152.44,1771519112.534
400.0,4.0,3.03,65.31,152.44,1771519112.534
400.0,4.0,3.03,65.31,152.44,1771519112.534
400.0,4.08,2.98,66.71,151.1,1771519113.548
400.0,4.08,2.98,66.71,151.1,1771519113.548
400.0,4.08,2.98,66.71,151.1,1771519113.548
400.0,4.08,2.98,66.71,151.1,1771519113.548
400.0,4.0,3.03,67.98,150.0,1771519114.552
400.0,4.0,3.03,67.98,150.0,1771519114.552
